Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
IL-2/STAT5 Signaling	24/199	1.67607148757759e-19	7.37471454534139e-18	15.74335839599	680.627325529468	AHNAK;PNP;XBP1;EMP1;BHLHE40;IL18R1;IFNGR1;DHRS3;ADAM19;CD44;PTGER2;CAPG;PHLDA1;CSF2;SLC39A8;PRNP;RORA;GLIPR2;TNFRSF4;BCL2;ARL4A;TNFRSF18;KLF6;LTB	1	MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB	23/200	2.93310030958103e-18	6.45282068107827e-17	14.8286690316647	598.64036325642	EGR1;GPR183;JUN;DUSP1;CCL20;BHLHE40;FOS;FOSB;CD44;CDKN1A;PTGER4;PHLDA1;CD69;CSF2;PPP1R15A;TNF;ZFP36;IL7R;NR4A1;NFKBIA;TNFAIP3;MCL1;KLF6	2	MSigDB_Hallmark_2020
Hypoxia	19/200	9.78105633588367e-14	1.43455492926294e-12	11.7044198895028	350.614603700243	MIF;ENO1;PLAC8;ANXA2;JUN;DUSP1;BHLHE40;CITED2;FOS;CDKN1A;S100A4;PPP1R15A;ZFP36;IGFBP3;RORA;BCL2;TNFAIP3;TPBG;KLF6	3	MSigDB_Hallmark_2020
Apoptosis	14/161	6.32207666413397e-10	6.95428433054736e-09	10.3435937911076	219.095967957001	CD2;CD69;TNF;LMNA;LGALS3;ANXA1;JUN;EMP1;TIMP1;MCL1;IFNGR1;TXNIP;CD44;CDKN1A	4	MSigDB_Hallmark_2020
Inflammatory Response	15/200	1.20416951181961e-09	1.05966917040126e-08	8.83783783783784	181.506879918405	SLAMF1;C3AR1;GPR183;CCL20;EMP3;IL18R1;TIMP1;CDKN1A;PTGER2;PTGER4;CD69;IL7R;NFKBIA;TPBG;KLF6	5	MSigDB_Hallmark_2020
Allograft Rejection	13/200	8.66365781667893e-08	6.35334906556455e-07	7.49350649350649	121.855983534271	CD2;CD4;RPS19;RPL39;CCR2;TIMP1;IFNGR1;CD40LG;CAPG;TNF;NCF4;IL2;LTB	6	MSigDB_Hallmark_2020
Interferon Gamma Response	11/200	4.46441360567202e-06	2.45542748311961e-05	6.20473890039107	76.4384909182053	IFITM2;PNP;IFI44;CFH;CDKN1A;IFI44L;CD69;NFKBIA;ARL4A;TNFAIP3;TXNIP	7	MSigDB_Hallmark_2020
Epithelial Mesenchymal Transition	11/200	4.46441360567202e-06	2.45542748311961e-05	6.20473890039107	76.4384909182053	VIM;LGALS1;JUN;EMP3;TIMP1;IL32;CD44;CAPG;PPIB;IGFBP3;TNFAIP3	7	MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling	7/87	2.27438039904066e-05	0.000111191930619766	9.18051861702128	98.1509240674291	JUN;IL18R1;CSF2;TNF;IFNGR1;LTB;CD44	9	MSigDB_Hallmark_2020
Estrogen Response Early	10/200	2.78793017463801e-05	0.000122668927684072	5.58036984352774	58.5248319574193	AQP3;XBP1;MYBL1;BHLHE40;FOS;DHRS3;CD44;BCL2;DYNLT3;TPBG	10	MSigDB_Hallmark_2020
Complement	9/200	0.000157160118860603	0.000576253769155543	4.96892416821483	43.5190572738555	CALM1;CFH;GATA3;LGALS3;CTSB;TIMP1;CD40LG;TNFAIP3;DPP4	11	MSigDB_Hallmark_2020
KRAS Signaling Up	9/200	0.000157160118860603	0.000576253769155543	4.96892416821483	43.5190572738555	C3AR1;CFH;CCL20;EMP1;CSF2;PPP1R15A;IGFBP3;IL7R;TNFAIP3	11	MSigDB_Hallmark_2020
Estrogen Response Late	8/200	0.000792783601533992	0.00232549856449971	4.37009803921569	31.2023263296954	XBP1;FOS;CD44;ZFP36;PERP;BCL2;DYNLT3;TPBG	13	MSigDB_Hallmark_2020
mTORC1 Signaling	8/200	0.000792783601533992	0.00232549856449971	4.37009803921569	31.2023263296954	PNP;XBP1;ENO1;PRDX1;BHLHE40;CDKN1A;SERP1;PPP1R15A	13	MSigDB_Hallmark_2020
p53 Pathway	8/200	0.000792783601533992	0.00232549856449971	4.37009803921569	31.2023263296954	S100A10;JUN;FOS;CDKN1A;S100A4;PPP1R15A;PERP;TXNIP	13	MSigDB_Hallmark_2020
Myogenesis	7/200	0.00354142947644815	0.00916605276257168	3.78359607540514	21.3516833059407	PTP4A3;BHLHE40;SORBS3;CDKN1A;PRNP;IGFBP3;FHL1	16	MSigDB_Hallmark_2020
