p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
1.06851229765169e-122	2.22585880058435	0.998	0.787	1.4151376870099e-118	FOS	c1
1.09011138683379e-109	2.07679024074897	0.982	0.52	1.44374352072267e-105	IL7R	c1
1.48800418570054e-102	1.52945065870242	0.998	0.872	1.97071274354179e-98	VIM	c1
5.84161711569709e-102	1.82967235284709	0.975	0.56	7.73663770802923e-98	ANXA1	c1
6.59316580861382e-101	2.5365243579576	0.928	0.495	8.73198879692814e-97	FOSB	c1
1.09586916313942e-95	1.43931705846473	0.998	0.787	1.45136911966185e-91	S100A4	c1
9.21419664229592e-88	1.51438908130099	0.995	0.893	1.22032820330567e-83	DUSP1	c1
3.20323710134329e-82	2.63819995262318	0.733	0.22	4.24236721701905e-78	LGALS3	c1
1.36973856272407e-62	1.25316698909443	0.908	0.432	1.81408175247176e-58	KLRB1	c1
4.81902642501402e-62	4.44181266502426	0.512	0.08	6.38231859728857e-58	TNF	c1
4.41771027457668e-60	1.74983913300375	0.779	0.3	5.85081548764936e-56	CD40LG	c1
3.36554887003615e-59	0.494947495984959	1	1	4.45733292347588e-55	RPLP1	c1
4.66253760178809e-59	1.21378052240084	0.926	0.688	6.17506479980815e-55	S100A11	c1
3.59823322303108e-55	1.11073290051311	0.933	0.732	4.76550008058236e-51	S100A10	c1
6.42755039910146e-51	1.22173530206709	0.97	0.842	8.51264774856997e-47	TNFAIP3	c1
2.04142161326604e-50	2.02227875079952	0.896	0.767	2.70365878460954e-46	JUN	c1
3.10412301166861e-49	2.10227993339344	0.572	0.172	4.11110051665391e-45	CAPG	c1
9.89093657996159e-49	1.64169364162915	0.77	0.433	1.30995564065011e-44	AHNAK	c1
1.9963821370465e-48	3.85089692541741	0.415	0.06	2.64400850230439e-44	AC020571.1	c1
1.52939986491421e-45	2.2000887307588	0.539	0.162	2.02553718109238e-41	PTGER2	c1
2.0033042243835e-45	2.22388044469344	0.703	0.38	2.65317611477351e-41	NR4A1	c1
6.6140665624692e-45	2.66218996668609	0.472	0.115	8.75966975533421e-41	TIMP1	c1
1.39091354979645e-44	1.11241518574305	0.963	0.848	1.84212590535042e-40	KLF6	c1
9.0627443374429e-43	0.900538056838015	0.975	0.868	1.20026986005094e-38	IFITM2	c1
2.45389616840917e-42	0.399710811724565	1	0.998	3.2499400854411e-38	TPT1	c1
2.86304738789251e-42	3.66416145592959	0.352	0.04	3.79181996052484e-38	MYBL1	c1
3.76042868540838e-42	1.56528893305207	0.742	0.422	4.98031175095486e-38	MYADM	c1
7.64796830331848e-42	0.478725169973556	1	0.997	1.0128969220915e-37	RPLP0	c1
3.21404885694667e-41	1.04809864134897	0.922	0.703	4.25668630614017e-37	PPP1R15A	c1
1.15613423860954e-40	3.35224769321596	0.486	0.157	1.53118418561447e-36	EGR1	c1
3.91001905712092e-39	0.811776046742713	0.975	0.858	5.17842923925095e-35	S100A6	c1
6.69171122480098e-39	1.05123719520392	0.871	0.63	8.86250234612642e-35	EMP3	c1
1.34281381303068e-37	0.59737473750873	0.995	0.958	1.77842261397783e-33	ITM2B	c1
1.77151891128231e-37	1.27993408301682	0.943	0.903	2.3461996461023e-33	ZFP36	c1
2.84148078019663e-37	1.41799840143421	0.64	0.302	3.76325714529242e-33	ANXA2	c1
2.5239840759818e-36	3.74761086122413	0.323	0.04	3.34276451023029e-32	IL2	c1
3.46792115500824e-36	0.798425039485388	0.945	0.852	4.59291477769291e-32	HSP90AB1	c1
4.25779544433261e-36	1.5509178778946	0.641	0.318	5.63902428647411e-32	AC020916.1	c1
4.76969199046358e-36	1.1224302427002	0.945	0.863	6.31698007216997e-32	TSC22D3	c1
7.17549239902975e-36	0.393856182078877	1	0.997	9.503222133275e-32	EEF1A1	c1
2.1752779663633e-34	0.988603294779127	0.866	0.598	2.88093813865156e-30	TXNIP	c1
2.1762304314843e-33	2.28414033279522	0.41	0.105	2.88219958345781e-29	CCR6	c1
3.64082136316754e-33	1.34250932279701	0.717	0.463	4.82190381337909e-29	TTC39C	c1
1.65605029212514e-32	0.379224311849693	1	0.997	2.19327300689053e-28	MT-CYB	c1
7.22626928217831e-32	2.0107239746801	0.463	0.162	9.57047103731696e-28	IFNGR1	c1
8.28901314512073e-32	1.93048748572207	0.403	0.115	1.09779690093979e-27	PERP	c1
1.25797489798875e-31	0.919661408715545	0.986	0.957	1.6660619548963e-27	CD69	c1
7.07500671457839e-31	1.75687468268456	0.482	0.183	9.37013889278762e-27	DYNLT3	c1
4.09682991784215e-30	0.48215158060483	0.995	0.977	5.42584154319015e-26	MT-ND5	c1
4.73683794199021e-30	0.96075048565952	0.811	0.59	6.27346817037184e-26	TUBA1B	c1
1.0379800016179e-28	2.98705276085831	0.276	0.04	1.37470071414275e-24	DHRS3	c1
4.14370847998714e-28	1.05778212018903	0.763	0.537	5.48792751089497e-24	CSRNP1	c1
9.23746121000428e-28	2.41542128234729	0.542	0.265	1.22340936265297e-23	HSPA1B	c1
3.73361111400558e-27	3.46159232536715	0.254	0.035	4.944794559389e-23	LMNA	c1
5.01814899024623e-27	2.87279917334195	0.293	0.06	6.64603652268211e-23	TNFSF13B	c1
9.6042965207951e-27	0.315093788918561	1	0.998	1.2719930312141e-22	RPL10	c1
2.2572511577108e-26	1.41956683841423	0.463	0.173	2.98950343327219e-22	ARL4A	c1
2.51097717616373e-26	0.547551793003576	0.981	0.942	3.32553817211124e-22	MT-ND2	c1
3.60476930297427e-26	3.31484482243083	0.242	0.033	4.77415646485912e-22	PLCB1	c1
5.47792883508819e-26	1.117481533739	0.604	0.278	7.2549689491908e-22	CD4	c1
7.8042595833476e-26	1.27630836528482	0.848	0.667	1.03359613921856e-21	NFKBIA	c1
1.77666806630005e-25	0.742855211666476	0.947	0.862	2.35301918700779e-21	CRIP1	c1
3.76292189673505e-25	0.485735802319067	0.984	0.96	4.9836137600359e-21	CALM1	c1
4.86366413281509e-25	1.26228518928137	0.606	0.365	6.4414367775003e-21	PLP2	c1
3.54727188146464e-24	0.523211381841782	0.97	0.892	4.69800687981177e-20	MIF	c1
3.91743217326998e-24	3.62315560449773	0.21	0.023	5.18824717027876e-20	TMEM273	c1
5.0309810242224e-24	0.686575165763057	0.935	0.843	6.66303126848014e-20	TAGLN2	c1
2.02681743179089e-23	3.99245104621675	0.193	0.017	2.68431700666386e-19	IL23R	c1
5.59987439813712e-23	4.86072651386495	0.175	0.01	7.4164736528928e-19	IL4I1	c1
1.273228672194e-22	0.390860406109031	1	0.983	1.68626405345373e-18	MYL12A	c1
1.80404816314492e-22	1.07285561713255	0.592	0.347	2.38928138726913e-18	MGST3	c1
1.85765996585165e-22	1.44665227626383	0.479	0.228	2.46028485877393e-18	ERN1	c1
3.63824504653665e-22	0.338777473922758	0.998	0.995	4.81849173963313e-18	RPL35	c1
5.962937822541e-22	0.292388089692841	1	0.998	7.8973148521733e-18	RPS19	c1
1.01417958831028e-21	0.284798117292992	1	0.997	1.34317944675813e-17	MT-ND4L	c1
1.07890753945798e-21	1.49129070548844	0.56	0.305	1.42890514525815e-17	PHLDA1	c1
1.58434962048205e-20	1.6341036123847	0.345	0.118	2.09831263736642e-16	DPP4	c1
1.62594327909763e-20	0.96801038354389	0.594	0.333	2.1533992788369e-16	AQP3	c1
3.3448522543023e-20	2.26564669193178	0.242	0.052	4.42992232559797e-16	CCR2	c1
