Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Allograft Rejection	50/200	1.06254833050628e-21	5.20648681948075e-20	6.59216509268975	318.359495162427	CD7;IL2RG;PSMB10;B2M;GBP2;ST8SIA4;HLA-A;PRF1;LYN;PTPRC;NCR1;CD3G;CD3E;CD3D;CCR5;HLA-DQA1;MAP4K1;CDKN2A;HCLS1;GCNT1;CAPG;HLA-DMB;CXCR3;HLA-DMA;CD74;CRTAM;TAP1;KLRD1;PTPN6;GPR65;FLNA;HLA-DOA;CD96;CD8B;CD8A;FASLG;IRF4;IFNG;HLA-DRA;IRF8;LCP2;GZMB;GZMA;LCK;ZAP70;IL2RB;ITGAL;CCL5;CCL4;CSK	1	MSigDB_Hallmark_2020
Interferon Gamma Response	47/200	2.77636831663954e-19	6.80210237576687e-18	6.05510432903984	258.722334611213	PSMB9;MTHFD2;UBE2L6;PSMB10;ST3GAL5;SLAMF7;B2M;GBP4;ST8SIA4;HLA-A;HLA-B;PARP14;PLSCR1;PSME2;PSME1;VAMP5;HLA-DRB1;IFI35;RNF213;KLRK1;GPR18;CD38;HLA-DQA1;PSMB8;HLA-DMA;CD74;TAP1;VCAM1;TRAFD1;PTPN6;SAMD9L;AUTS2;ISG15;DDX60;XCL1;IRF4;IRF8;LCP2;CASP7;CASP4;CASP3;CIITA;GZMA;IL2RB;OASL;CCL5;ITGB7	2	MSigDB_Hallmark_2020
Interferon Alpha Response	20/97	5.77923664784079e-08	8.25355676475563e-07	4.99927336143003	83.3199352334846	CD74;TAP1;PSMB9;TRAFD1;SAMD9L;UBE2L6;CCRL2;B2M;GBP2;GBP4;HLA-C;ISG15;PARP14;PLSCR1;PSME2;PSME1;IFI35;DDX60;OASL;PSMB8	3	MSigDB_Hallmark_2020
IL-2/STAT5 Signaling	30/199	6.73759735898419e-08	8.25355676475563e-07	3.43499334091476	56.7219672617182	GBP4;PRKCH;GABARAPL1;GADD45B;PLSCR1;UCK2;PLPP1;IKZF2;RHOH;NFIL3;SNX14;CAPG;CST7;PLAGL1;GPR65;MAP3K8;HOPX;GLIPR2;TNFRSF9;TNFRSF1B;IRF4;ITGAE;IRF8;ABCB1;SYNGR2;CASP3;MYO1E;IL2RB;SYT11;FURIN	4	MSigDB_Hallmark_2020
Cholesterol Homeostasis	17/74	1.07589713815209e-07	1.05437919538905e-06	5.72897761645493	91.9211066449808	STARD4;ANXA5;CD9;ATF3;NFIL3;FDFT1;LDLR;ABCA2;SQLE;FABP5;PLSCR1;FASN;MVD;TRIB3;ACTG1;HMGCR;FBXO6	5	MSigDB_Hallmark_2020
mTORC1 Signaling	29/200	2.6014232539205e-07	2.12449565736841e-06	3.27793988736386	49.700245693232	STARD4;MTHFD2;CD9;ARPC5L;SQLE;TPI1;SLC7A5;ALDOA;GPI;NFIL3;PHGDH;CTSC;PSMA4;TCEA1;G6PD;SLC1A4;LDLR;IDH1;SLC9A3R1;ATP6V1D;INSIG1;CORO1A;ACTR3;HSPA9;PIK3R3;PGK1;TRIB3;GAPDH;HMGCR	6	MSigDB_Hallmark_2020
Complement	27/200	2.73720946497761e-06	1.91604662548433e-05	3.01009191699043	38.5549778412599	PSMB9;XPNPEP1;PFN1;CBLB;GNG2;APOBEC3G;PLSCR1;PPP4C;LYN;ANXA5;GNGT2;FCER1G;CTSD;CTSC;F8;GNAI2;RASGRP1;LCP2;CASP7;CASP4;CASP3;GZMB;GZMA;LCK;PLEK;CCL5;FYN	7	MSigDB_Hallmark_2020
Oxidative Phosphorylation	26/200	8.34621501189732e-06	5.11205669478711e-05	2.87884563347804	33.6643641333259	BAX;UQCRC1;SUCLG1;COX8A;COX7A2L;GPI;MRPS12;ATP5MG;ATP5MF;COX5A;ATP5F1B;ATP5F1C;ACADM;NDUFV1;IDH1;IDH2;ATP6V1D;ATP5MC3;UQCRH;HSPA9;NDUFS8;NDUFS2;CASP7;UQCRFS1;SLC25A5;TCIRG1	8	MSigDB_Hallmark_2020
PI3K/AKT/mTOR  Signaling	17/105	1.77647485134334e-05	9.67191863509152e-05	3.70474137931034	40.5235521972382	PPP1CA;PFN1;IL2RG;CFL1;ARPC3;CSNK2B;PIN1;FASLG;AP2M1;ACTR3;TNFRSF1A;VAV3;PIK3R3;LCK;TRIB3;RPS6KA1;MAPK1	9	MSigDB_Hallmark_2020
Mitotic Spindle	24/199	6.29296510126002e-05	0.000278425110487767	2.63667298993142	25.5058379911025	ACTN4;NIN;KIF20B;PREX1;EZR;SMC4;ARHGEF3;ARHGEF7;PIF1;NEDD9;MYO9B;RAB3GAP1;AKAP13;ROCK1;KATNB1;BCL2L11;FLNA;CLASP1;ARHGEF12;TBCD;KIF23;MYH9;CAPZB;MYO1E	10	MSigDB_Hallmark_2020
TNF-alpha Signaling via NF-kB	24/200	6.81857413439429e-05	0.000278425110487767	2.62155260469867	25.1492752897568	TNFSF9;ATF3;GADD45B;FOSL2;DUSP4;ID2;REL;LITAF;NFIL3;TAP1;CCRL2;MAP3K8;LDLR;GEM;NR4A3;NR4A2;PFKFB3;TNFRSF9;MSC;CFLAR;B4GALT1;PLEK;CCL5;CCL4	11	MSigDB_Hallmark_2020
Apical Junction	24/200	6.81857413439429e-05	0.000278425110487767	2.62155260469867	25.1492752897568	ACTN4;PFN1;MYL12B;ACTB;VASP;PTPRC;CAP1;GNAI2;RAC2;VCAM1;ZYX;LAYN;ARPC2;INSIG1;ACTG1;CD99;MSN;MYH9;PECAM1;B4GALT1;PIK3R3;EVL;MVD;NECTIN3	11	MSigDB_Hallmark_2020
Hypoxia	21/200	0.00113095306903848	0.00426282310637581	2.24816529941176	15.2531149169443	XPNPEP1;MT1E;ATF3;FOSL2;RBPJ;PRDX5;HMOX1;TPI1;ALDOA;GPI;NFIL3;TPST2;HEXA;SAP30;HDLBP;PFKFB3;GRHPR;MYH9;PGK1;GAPDH;PGM2	13	MSigDB_Hallmark_2020
